key,spp,locality,lat,lon,COI
JRD067,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD068,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD069,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD070,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD071,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD072,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD073,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD074,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD075,Papilio zelicaon ,"Canada: Alberta, House Mountain",55.04839,-115.59475,Z
JRD076,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD077,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD078,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD079,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD080,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD081,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD082,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD083,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD084,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD085,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD086,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD087,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD088,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD089,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD090,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD091,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD092,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD093,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD094,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD095,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD096,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD097,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD098,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD099,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD100,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD101,Papilio zelicaon ,"Canada: Alberta, Goose Mountain",54.75171,-116.03276,Z
JRD102,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD103,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD104,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD105,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD106,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD107,Papilio zelicaon ,"Canada: Alberta, Kleskun Hills",55.25466,-118.52737,Z
JRD108,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD109,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD110,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD111,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD112,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD113,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD114,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD115,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD116,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD117,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD118,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD119,Papilio machaon pikei,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,M
JRD120,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD121,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD122,Papilio zelicaon ,"Canada: British Columbia, Bullhead Mountain",56.0457,-122.13297,Z
JRD123,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD124,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD125,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD126,Papilio zelicaon ,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,Z
JRD127,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD128,Papilio zelicaon ,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,Z
JRD129,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD130,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD131,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD132,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD133,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD134,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD135,Papilio machaon pikei,"Canada: British Columbia, Lynx Ridge Road",56.11653,-121.79996,M
JRD170,Papilio machaon pikei,"Canada: Alberta, Highland Park North",56.13076,-118.88931,M
JRD171,Papilio machaon pikei,"Canada: Alberta, Highland Park North",56.13076,-118.88931,M
JRD172,Papilio machaon pikei,"Canada: Alberta, Highland Park North",56.13076,-118.88931,M
JRD173,Papilio machaon pikei,"Canada: Alberta, Highland Park North",56.13076,-118.88931,M
JRD174,Papilio machaon pikei,"Canada: Alberta, Highland Park North",56.13076,-118.88931,M
JRD175,Papilio machaon pikei,"Canada: Alberta, Highland Park North",56.13076,-118.88931,M
JRD176,Papilio machaon pikei,"Canada: Alberta, Highland Park North",56.13076,-118.88931,M
JRD177,Papilio machaon pikei,"Canada: Alberta, Highland Park North",56.13076,-118.88931,M
JRD178,Papilio machaon pikei,"Canada: Alberta, Highland Park North",56.13076,-118.88931,M
JRD179,Papilio zelicaon ,"Canada: Alberta, Highland Park Central",56.01923,-118.80972,Z
JRD180,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD181,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD182,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD183,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD184,Papilio zelicaon ,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,Z
JRD185,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD186,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD187,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD188,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD189,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD190,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
